id,name,icon,description,itemType,price,skillSO,skillImage,runeSO,hpRecover,mpRecover
21,HpPotion_L,Assets/08_Externals/Wenrexa RPG Pixel Icons Potion/Wenrexa RPG Pixel Icons Potion/50x50px/Color1/HP_L.png,체력을 80채워줍니다,Potion,20,,,,80,
22,HpPotion_M,Assets/08_Externals/Wenrexa RPG Pixel Icons Potion/Wenrexa RPG Pixel Icons Potion/50x50px/Color1/HP_M.png,체력을 50채워줍니다,Potion,17,,,,50,
23,HpPotion_S,Assets/08_Externals/Wenrexa RPG Pixel Icons Potion/Wenrexa RPG Pixel Icons Potion/50x50px/Color1/HP_S.png,체력을 25채워줍니다,Potion,15,,,,25,
24,MpPotion_L,Assets/08_Externals/Wenrexa RPG Pixel Icons Potion/Wenrexa RPG Pixel Icons Potion/50x50px/Color6/MP_L.png,마나를 80채워줍니다,Potion,20,,,,,80
25,MpPotion_M,Assets/08_Externals/Wenrexa RPG Pixel Icons Potion/Wenrexa RPG Pixel Icons Potion/50x50px/Color6/MP_M.png,마나를 50채워줍니다,Potion,17,,,,,50
26,MpPotion_S,Assets/08_Externals/Wenrexa RPG Pixel Icons Potion/Wenrexa RPG Pixel Icons Potion/50x50px/Color6/MP_M.png,마나를 25채워줍니다,Potion,15,,,,,25
27,MagicGatling,Assets/08_Externals/Stone_Runes_Icons/Ancient_Manuscript_Icons/transparent/MagicGatling.png,커서 방향으로 마법탄을 난사합니다. ,SkillBook,20,Assets/09_ScriptableObject/Skill/MagicGatling.asset,Assets/08_Externals/[WENREXA Pixel Assets #1]/WENREXA Pixel Assets/[Pack] GUI/Pixel Spell & Abilities Icons [1660]/Skill Icon Pack [Pixel] 2/256x256px/9.png,,,
28,MagicArea,Assets/08_Externals/Stone_Runes_Icons/Ancient_Manuscript_Icons/transparent/MagicArea.png,적에게 피해를 주는 마법진을 소환합니다. ,SkillBook,40,Assets/09_ScriptableObject/Skill/MagicArea.asset,Assets/08_Externals/[WENREXA Pixel Assets #1]/WENREXA Pixel Assets/[Pack] GUI/Pixel Spell & Abilities Icons [1660]/Skill Icon Pack [Pixel] 1/256x256px/18.png,,,
29,MagicRain,Assets/08_Externals/Stone_Runes_Icons/Ancient_Manuscript_Icons/transparent/MagicRain.png,커서 위치에 마법 구체를 떨어뜨립니다.,SkillBook,20,Assets/09_ScriptableObject/Skill/MagicRain.asset,Assets/08_Externals/[WENREXA Pixel Assets #1]/WENREXA Pixel Assets/[Pack] GUI/Pixel Spell & Abilities Icons [1660]/Skill Icon Pack [Pixel] 3/256x256px/50.png,,,
30,MagicSlash,Assets/08_Externals/Stone_Runes_Icons/Ancient_Manuscript_Icons/transparent/MagicSlash.png,주위를 베어냅니다.,SkillBook,20,Assets/09_ScriptableObject/Skill/MagicSlash.asset,Assets/08_Externals/[WENREXA Pixel Assets #1]/WENREXA Pixel Assets/[Pack] GUI/Pixel Spell & Abilities Icons [1660]/Skill Icon Pack [Pixel] 2/256x256px/14.png,,,
31,WaveRune,Assets/08_Externals/Stone_Runes_Icons/transparent/WaveRune.PNG,사용한 스킬의 잔류 마나를 이용하여 파동을 발사합니다. 데미지는 사용한 스킬의 데미지에 따릅니다.,Rune,50,,,Assets/09_ScriptableObject/Rune/WaveRune.asset,,
32,StickyBall,Assets/08_Externals/Stone_Runes_Icons/Ancient_Manuscript_Icons/transparent/StickyBall.png,적에게 닿으면 멈춰서 다단히트를 발생하는 구체를 발사합니다.,SkillBook,30,Assets/09_ScriptableObject/Skill/StickyBall.asset,Assets/08_Externals/[WENREXA Pixel Assets #1]/WENREXA Pixel Assets/[Pack] GUI/Pixel Spell & Abilities Icons [1660]/Skill Icon Pack [Pixel] 1/256x256px/StickyBall.png,,,
33,Burst,Assets/08_Externals/Stone_Runes_Icons/Ancient_Manuscript_Icons/transparent/Burst.png,일정 거리로 이동하여 마법 폭발을 일으킵니다.,SkillBook,30,Assets/09_ScriptableObject/Skill/Burst.asset,Assets/08_Externals/[WENREXA Pixel Assets #1]/WENREXA Pixel Assets/[Pack] GUI/Pixel Spell & Abilities Icons [1660]/Skill Icon Pack [Pixel] 3/256x256px/Burst.png,,,
34,FlowRune,Assets/08_Externals/Stone_Runes_Icons/transparent/FlowRune.PNG,스킬을 사용하는 동안 움직일 수 있습니다.,Rune,24,,,Assets/09_ScriptableObject/Rune/FlowRune.asset,,
35,InvincibleRune,Assets/08_Externals/Stone_Runes_Icons/transparent/InvincibleRune.PNG,스킬이 시전중인 동안 적에게 피해를 받지 않습니다.,Rune,30,,,Assets/09_ScriptableObject/Rune/InvincibleRune.asset,,
36,DamageRune,Assets/08_Externals/Stone_Runes_Icons/transparent/DamageRune.png,스킬 데미지를 20% 증가시킵니다.,Rune,15,,,Assets/09_ScriptableObject/Rune/DamageRune.asset,,
37,ReduceCoolTimeRune,Assets/08_Externals/Stone_Runes_Icons/transparent/ReduceCoolTimeRune.PNG,스킬의 쿨타임을 20% 줄여줍니다.,Rune,15,,,Assets/09_ScriptableObject/Rune/ReduceCoolTimeRune.asset,,
38,TimeCircle,Assets/08_Externals/Stone_Runes_Icons/Ancient_Manuscript_Icons/transparent/TimeCircle.png,시간이 지날수록 데미지가 강해지는 마법진을 생성합니다.,SkillBook,60,Assets/09_ScriptableObject/Skill/TimeCircle.asset,Assets/08_Externals/[WENREXA Pixel Assets #1]/WENREXA Pixel Assets/[Pack] GUI/Pixel Spell & Abilities Icons [1660]/Skill Icon Pack [Pixel] 2/256x256px/TimeCircle.png,,,
